ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
MP.16.01;Casco Histórico de Hortaleza;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;445626,0115;4480574,651;-3.6414542;40.4740751
MP.21.01;Barrio del Areopuerto;2024-2028;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;450600,7105;4477978,231;-3.5825682;40.4509957
MP.21.02;Casco Histórico de Barajas;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;450962,75;4480570,545;-3.5784992;40.4743704
MP.17.01;Casco de Villaverde Alto;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;439718,97;4466358,159;-3.7097884;40.3455985
MP.17.02;Casco de Villaverde Bajo;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;441557,5835;4466936,355;-3.6881939;40.3509381
MP.12.01;Entorno Calle Marcelo Usera - Dolores Barranco;2017-2020;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;440185,768;4470861,293;-3.7047148;40.3861988
MP.06.01;Ventilla;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;441384,1945;4480179,002;-3.6914554;40.4702224
MP.06.02;Bellas Vistas;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;440020,93;4478148,936;-3.707344;40.4518375
MP.13.01;Numancia;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;443879,245;4471992,847;-3.6613018;40.3966496
MP.11.03;Barrio de San Isidro;2024-2028;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;437798,8645;4472019,466;-3.7329477;40.3964574
MP.10.02;Puerta del Ángel;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;437502,011;4473201,096;-3.7365613;40.4070798
AO.06.02;Paseo de La Dirección;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;440238;4479830,6;-3.7049426;40.4670022
AG.13.04;Portazgo;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444138,55;4471246,09;-3.658181;40.3899397
AG.14.02;Polígonos E, I, Z;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444528,2;4473593,364;-3.6537948;40.4111114
AG.14.03;Moratalaz Promoción Pública;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;446241;4472490,175;-3.6335156;40.4012856
